clave_mun,municipio,asistencia_18_24,basica_incompleta_15mas,analfabeta_15mas,pct_internet,sin_lavadora,pob_6a14_no_asiste,pct_jefatura_f,piso_tierra,lengua_indigena,sin_drenaje,intensidad_migratoria,sin_energia_electrica,sin_excusado,sin_derechohabiencia
20368,Santa Catarina Minas,18.51851851851852,48.850952,11.16218,41.92377495462795,52.545455,6.501548,32.075471698113205,13.636363999999999,0.8713480266529985,65.454545,-61.67509,0.909091,2.363636,25.689404999999997
20369,Santa Catarina Quiané,32.48730964467005,44.939023999999996,8.536584999999999,29.98477929984779,32.824427,3.067485,32.14774281805746,16.946565,1.4306151645207439,11.29771,-62.01893,1.068702,1.679389,13.269494
20370,Santa Catarina Tayata,35.41666666666667,36.291913,4.142012,14.903846153846153,39.613527,2.105263,28.851963746223564,15.458936999999999,10.317460317460316,64.73429999999999,-64.71731,2.415459,0.48309199999999997,20.241692
20371,Santa Catarina Ticuá,19.11764705882353,50.332004999999995,21.646746,10.795454545454545,80.05698,1.4492749999999999,32.06185567010309,16.524217,57.70042194092827,54.131054,-64.6046,3.418803,4.843305,22.312372999999997
20372,Santa Catarina Yosonotú,30.693069306930692,57.859209,35.39055,4.366812227074235,91.422122,2.7472529999999997,28.674121405750796,9.932279999999999,80.76622361219702,62.528217,-63.75365,2.257336,3.611738,5.243161
20373,Santa Catarina Zapoquila,3.125,46.905536999999995,11.726384,1.574803149606299,42.857143,3.448276,18.36228287841191,21.428570999999998,0.5194805194805194,2.3809519999999997,-64.06688,3.968254,1.587302,10.173696999999999
20374,Santa Cruz Acatepec,7.2727272727272725,57.620818,21.375465,2.6066350710900474,95.023697,9.604519999999999,26.200607902735563,44.075829,83.10767246937459,44.549763,-65.31686,2.8436019999999997,1.4218009999999999,11.306991
20375,Santa Cruz Amilpas,42.797369994022716,23.615865,2.65754,56.50349650349651,36.707796,3.846154,33.62442098868555,4.963545,15.930121250797702,1.037577,-64.23986,0.308469,0.308469,32.636364
20376,Santa Cruz de Bravo,14.285714285714285,61.567164,20.895522,4.0,33.0,0.0,30.958904109589042,5.0,1.729106628242075,11.0,-60.73803,1.0,5.0,3.835616
20377,Santa Cruz Itundujia,20.621225194132872,52.337818,10.843212999999999,20.601001669449083,64.276139,4.674221,20.3632005899705,22.453083,10.217771728563095,72.218499,-62.525,6.668901,1.474531,9.558010999999999
20378,Santa Cruz Mixtepec,18.67612293144208,52.187028999999995,8.974359,11.76470588235294,57.791537999999996,4.148148,24.91935483870968,15.479875999999999,24.78849407783418,43.343652999999996,-62.10441,2.063983,2.786378,28.360215
20379,Santa Cruz Nundaco,22.151898734177212,49.825086999999996,13.193403,8.16326530612245,76.982097,1.4729949999999998,31.48148148148148,26.854219999999998,79.77085571070533,76.086957,-61.25924,2.685422,1.662404,24.60183
20380,Santa Cruz Papalutla,28.000000000000004,55.581948,7.83848,24.496124031007753,47.670806999999996,2.0771509999999997,18.55486173059768,8.229814,25.558659217877093,53.416149,-61.60888,0.310559,2.639752,23.773417
20381,Santa Cruz Tacache de Mina,11.842105263157894,60.495627,9.52381,2.275600505689001,18.227847999999998,4.597701,22.482993197278912,2.025316,0.1443001443001443,6.075949,-57.84081,0.253165,2.025316,17.517007
20382,Santa Cruz Tacahua,8.870967741935484,54.308389999999996,11.791383,28.693181818181817,77.492877,3.431373,14.700854700854702,9.97151,33.8339222614841,75.783476,-61.75698,2.564103,1.1396009999999999,6.76819
20383,Santa Cruz Tayata,11.11111111111111,48.283753,4.3478259999999995,4.519774011299435,47.457626999999995,10.989011,12.773109243697478,27.118644,0.5291005291005291,60.451977,-63.70061,1.129944,0.564972,13.94958
20384,Santa Cruz Xitla,7.276119402985075,72.636966,16.496087,10.11433597185576,80.98591499999999,6.64488,20.25448477263246,24.471830999999998,58.85347498893315,36.883803,-60.60349,1.408451,1.232394,28.473091
20385,Santa Cruz Xoxocotlán,45.87980422049266,23.574165,3.093562,59.033384246127,38.429029,3.80755,33.63630927465168,8.649082,9.481634483981681,2.8162339999999997,-63.75363,0.910813,0.998251,37.558017
20386,Santa Cruz Zenzontepec,10.04491629236423,64.560616,24.575048,12.774049217002236,88.637382,7.215761,14.10060574137477,42.649035999999995,68.23142888963136,77.319588,-61.34333,4.2357689999999995,0.76199,4.402746
20387,Santa Gertrudis,27.659574468085108,51.753986,13.940774,23.50835322195704,30.429593999999998,6.971678,27.94880664130059,5.847255,0.5376344086021506,5.966587,-60.18945,0.238663,2.863962,27.326185
20388,Santa Inés del Monte,8.379888268156424,62.533547999999996,14.600107,13.530326594090203,85.669782,5.025126,24.955500177999287,15.732087,0.9402030838661152,70.560748,-62.06289,5.2959499999999995,2.959502,24.8843
20389,Santa Inés Yatzeche,5.932203389830509,73.83177599999999,29.506007999999998,5.194805194805195,66.666667,19.230769,28.083700440528638,17.748918,96.78899082568807,2.597403,-63.19214,0.4329,0.0,4.515419
20390,Santa Lucía del Camino,47.04503599531224,20.300386,2.417931,70.79739112139701,38.387958999999995,4.377774,35.104980221117756,3.010269,12.21162655117848,0.38683399999999996,-64.15073,0.1688,0.7173999999999999,35.032365999999996
20391,Santa Lucía Miahuatlán,6.6473988439306355,75.277778,34.305555999999996,5.231143552311435,98.53479899999999,8.364084,14.875296912114013,29.67033,97.48348537275872,86.813187,-63.51602,5.616606,1.3431009999999999,20.651851999999998
